election_id,voter_id,project_id
2,41555,192
2,41555,1889
2,41555,1827
2,41555,2109
2,41555,1347
2,41555,1905
2,41555,2092
2,29785,433
2,29785,191
2,47859,1211
2,47859,2141
2,47859,731
2,47859,76
2,47859,1356
2,47859,921
2,47859,2109
2,47859,2092
2,61497,1211
2,61497,2141
2,61497,731
2,61497,76
2,61497,1356
2,61497,921
2,61497,2083
2,61497,1827
2,61497,1905
2,61497,2092
2,85654,1211
2,85654,731
2,85654,1356
2,85654,1213
2,50405,1211
2,50405,2141
2,50405,731
2,50405,76
2,50405,1356
2,50405,921
2,50405,2183
2,50405,192
2,50405,1889
2,50405,193
2,50405,1827
2,50405,1347
2,50405,1905
2,50405,2074
2,50405,2121
2,13684,2141
2,13684,731
2,13684,1356
2,13684,921
2,13684,2083
2,13684,193
2,13684,2121
2,54933,2141
2,54933,731
2,54933,76
2,54933,1356
2,54933,921
2,54933,2183
2,54933,2083
2,54933,192
2,54933,1889
2,54933,193
2,54933,1827
2,54933,2109
2,54933,1347
2,54933,1905
2,54933,2092
2,54933,2074
2,54933,2121
2,19285,2141
2,19285,731
2,19285,76
2,19285,1356
2,19285,921
2,19285,2183
2,19285,2083
2,19285,192
2,19285,1889
2,19285,2220
2,19285,193
2,19285,1827
2,19285,2109
2,19285,1347
2,19285,2092
2,19285,2074
2,19285,2121
2,64104,1211
2,64104,731
2,64104,1356
2,64104,433
2,64104,1827
2,64104,1187
2,64104,2074
2,64104,1213
2,63632,433
2,63632,192
2,63632,2121
2,15795,2141
2,15795,731
2,15795,1356
2,15795,2183
2,15795,2083
2,15795,1827
2,15795,2109
2,15795,1187
2,15795,2074
2,15795,2121
2,15795,1213
2,25399,1211
2,25399,2141
2,25399,76
2,25399,921
2,25399,2183
2,25399,2083
2,25399,2220
2,25399,2109
2,25399,1347
2,25399,1905
2,25556,1211
2,25556,731
2,25556,76
2,25556,1356
2,25556,2183
2,25556,433
2,25556,192
2,25556,193
2,25556,1827
2,25556,1347
2,25556,2074
2,25556,2121
2,25556,191
2,36606,1211
2,36606,731
2,36606,76
2,36606,921
2,36606,2183
2,36606,433
2,36606,1889
2,36606,193
2,36606,1187
2,36606,2092
2,36606,1213
2,77273,1211
2,77273,76
2,77273,433
2,77273,192
2,77273,2074
2,57563,1211
2,57563,2141
2,57563,731
2,57563,76
2,57563,921
2,57563,2183
2,57563,433
2,57563,192
2,57563,1347
2,57563,1905
2,57563,2121
2,33608,1211
2,33608,2141
2,33608,76
2,33608,921
2,33608,433
2,33608,1187
2,33608,1213
2,60291,1211
2,60291,2141
2,60291,731
2,60291,1356
2,60291,1827
2,25295,1211
2,25295,433
2,25295,192
2,25295,2220
2,25295,193
2,25295,2109
2,25295,1905
2,25295,2121
2,41660,731
2,41660,1827
2,41660,1187
2,41660,1213
2,40165,1211
2,40165,2141
2,40165,731
2,40165,76
2,40165,1356
2,40165,921
2,40165,2183
2,40165,433
2,40165,2220
2,40165,1827
2,40165,2074
2,42993,1211
2,42993,2141
2,42993,76
2,42993,1356
2,42993,921
2,42993,2183
2,42993,2083
2,42993,1889
2,42993,2220
2,42993,193
2,42993,1827
2,42993,1187
2,42993,2092
2,41320,2141
2,41320,731
2,41320,76
2,41320,921
2,41320,2183
2,41320,2083
2,41320,192
2,41320,1889
2,41320,2220
2,41320,193
2,41320,1827
2,41320,2109
2,41320,1347
2,41320,1905
2,41320,2092
2,41320,2074
2,41320,2121
2,41320,191
2,22867,433
2,50766,2141
2,50766,1356
2,50766,921
2,50766,2183
2,50766,2083
2,50766,1889
2,50766,2220
2,50766,1827
2,50766,2109
2,50766,1347
2,50766,1905
2,50766,2074
2,50766,2121
2,82196,731
2,82196,1356
2,82196,192
2,82196,2220
2,82196,193
2,82196,1827
2,82196,1187
2,82196,2121
2,82196,191
2,37217,1211
2,48404,1211
