election_id,voter_id,age,sex
2,65192,32,F
2,34664,13,F
2,83950,64,F
2,42208,11,F
2,32745,45,F
2,6237,47,F
2,72220,15,F
2,80695,50,F
2,35307,32,F
2,5667,34,F
2,25461,74,F
2,19476,58,F
2,56266,38,M
2,60230,34,F
2,54843,35,F
2,25187,45,M
2,46971,27,F
2,55442,33,F
2,30111,38,M
2,86781,68,F
2,65514,68,F
2,59778,42,F
2,9287,39,M
2,17654,28,F
2,28386,41,M
2,76596,35,F
2,59931,6,F
2,84498,61,M
2,41014,50,M
2,57056,8,M
2,73754,37,F
2,52978,35,M
2,1390,40,F
2,70273,67,F
2,2886,20,M
2,42946,59,F
2,42904,43,F
2,37545,27,F
2,37688,32,M
2,28094,73,F
2,61622,59,F
2,68961,12,F
2,45403,30,F
2,38161,52,M
2,53235,37,M
2,6440,13,F
2,76685,49,M
2,31717,58,M
2,50441,40,F
2,3388,18,M
2,83767,40,M
2,26029,44,F
2,55896,41,F
2,63040,45,F
2,1659,40,F
2,64355,34,M
2,16100,38,F
2,33828,32,F
2,21582,15,M
2,67573,46,F
2,24485,69,F
2,24746,42,F
2,40689,33,F
2,33392,37,F
2,41169,2,M
2,42046,52,M
2,18464,37,F
2,55734,67,M
2,56826,33,M
2,76967,42,F
2,4878,29,M
2,459,40,M
2,53113,35,M
2,37937,43,F
2,55376,23,F
2,58468,46,M
2,6759,31,F
2,35245,58,M
2,37532,30,F
2,72139,69,F
2,761,53,M
2,50271,41,M
2,42877,39,M
2,23972,44,F
2,23687,27,F
2,34724,2,M
2,42134,40,M
2,72174,41,F
2,30039,38,M
2,57101,35,F
2,9922,47,F
2,33390,33,F
2,48828,41,F
2,48656,61,F
2,9400,4,M
2,17129,40,F
2,22696,40,F
2,52344,38,F
2,56734,55,M
2,24172,56,M
2,81430,38,F
2,24203,28,F
2,34249,38,F
2,43818,38,F
2,23675,34,F
2,46810,38,F
2,10517,41,F
2,500,9,F
2,58697,38,F
2,64154,27,F
2,41301,68,M
2,38310,23,F
2,40851,8,M
2,57065,33,F
2,70194,41,M
2,28398,28,F
2,22457,38,F
2,13772,43,F
2,10176,42,F
2,40764,60,F
2,81381,7,M
2,82996,44,M
