0,voter_id,age,sex,voting_method,1,approval on project 2296,approval on project 2263,approval on project 1867,approval on project 2037,approval on project 518,approval on project 248,approval on project 1226,approval on project 2205
198,24222,33,F,internet,0,0,0,1,0,0,0,0,0
199,24473,68,F,internet,1,0,1,1,1,0,0,0,0
200,24596,37,F,internet,1,1,0,0,1,1,1,1,0
201,25317,36,F,internet,1,1,1,1,0,1,0,1,0
202,25646,45,F,internet,1,1,1,1,0,1,1,1,1
203,25740,32,M,internet,0,0,1,1,0,0,0,0,0
204,25798,30,F,internet,0,0,0,1,0,0,0,0,0
205,26023,34,F,internet,0,0,0,1,0,0,0,0,0
206,26330,32,F,internet,1,0,0,0,1,1,1,1,0
207,26387,47,M,internet,1,0,0,0,1,0,0,1,0
208,26456,16,M,internet,0,0,0,1,0,0,0,0,0
209,26732,33,M,internet,0,0,0,1,0,0,0,0,0
210,26939,36,F,internet,1,1,1,1,1,1,1,0,0
211,26971,43,F,internet,1,1,0,0,0,1,1,1,0
212,27281,37,F,internet,1,1,1,1,1,1,1,0,1
213,27452,42,M,internet,1,1,1,1,0,1,1,1,1
214,27465,11,M,internet,1,1,1,1,0,1,1,1,1
215,27470,42,F,internet,1,1,1,1,1,1,1,0,1
216,27501,36,F,internet,0,0,0,1,0,0,0,0,0
217,27673,30,F,internet,1,1,1,1,1,1,1,0,1
218,27772,36,M,internet,0,0,0,0,1,1,0,0,0
219,27779,51,F,internet,1,1,1,1,1,1,1,0,1
220,27866,35,F,internet,0,0,0,1,0,0,0,0,0
221,28051,34,M,internet,1,0,1,0,1,1,1,1,0
222,28186,43,F,internet,0,0,0,0,1,0,0,0,0
223,28220,50,F,internet,1,1,1,1,1,1,1,0,1
224,28321,43,F,internet,1,0,1,1,0,0,0,1,0
225,28667,34,F,internet,0,0,0,0,0,1,1,1,0
226,28673,61,F,internet,1,0,1,1,0,0,0,1,1
227,29079,36,F,internet,1,0,1,0,1,1,1,0,0
228,29383,28,F,internet,0,0,0,0,1,0,0,0,0
229,29434,57,F,internet,0,0,0,0,1,0,0,0,0
230,29562,40,M,internet,1,1,0,0,1,0,0,0,0
231,29621,73,M,internet,1,0,1,1,1,0,0,0,0
232,29794,39,F,internet,0,0,0,1,0,0,0,0,0
233,30032,34,F,internet,1,1,0,0,1,0,0,0,0
234,30326,28,F,internet,1,1,1,1,0,0,0,1,0
235,30722,47,F,internet,1,1,0,1,1,1,1,0,0
236,31081,32,M,internet,0,1,0,0,0,0,0,0,0
237,31292,28,M,internet,0,1,0,0,0,0,0,0,0
238,31638,28,F,internet,0,0,0,1,0,0,0,0,0
239,31860,33,F,internet,1,1,1,1,1,1,1,0,1
240,31861,41,F,internet,1,1,1,1,1,0,0,0,0
241,32079,37,M,internet,1,1,0,0,1,1,1,1,1
242,32489,34,M,internet,1,1,1,1,1,1,1,0,1
243,32538,33,F,internet,1,0,1,1,0,1,0,1,0
244,32663,24,M,internet,1,1,1,1,1,1,1,0,1
245,33138,34,F,internet,1,1,1,0,1,1,1,0,1
246,33174,51,F,internet,1,1,0,0,1,1,1,1,1
247,34830,33,F,internet,1,0,0,1,0,0,0,0,0
248,34838,28,F,internet,1,1,1,1,0,0,0,1,1
249,34903,57,F,internet,0,1,0,0,1,0,0,0,0
250,34905,61,F,internet,1,1,1,1,1,1,1,0,1
251,34932,24,M,internet,1,1,1,1,0,1,1,1,1
252,35007,58,M,internet,1,1,1,1,0,1,1,1,1
253,35012,38,F,internet,0,1,1,1,0,0,0,0,0
254,35077,30,F,internet,1,1,1,1,1,1,1,0,0
255,35086,65,M,internet,1,1,1,1,1,1,1,0,0
256,35224,35,F,internet,1,1,1,1,0,1,1,1,1
257,35230,34,M,internet,0,0,0,0,1,0,0,0,0
258,35450,36,M,internet,0,0,0,1,0,0,0,0,0
259,35477,29,F,internet,0,0,0,1,0,0,0,0,0
260,35499,35,M,internet,0,0,0,1,0,0,0,0,0
261,35507,3,F,internet,0,0,0,1,0,0,0,0,0
262,35523,1,F,internet,1,1,1,1,1,1,1,0,1
263,35642,36,M,internet,1,1,1,1,0,1,1,1,0
264,35963,32,M,internet,0,0,0,0,1,0,0,0,0
265,36190,30,M,internet,1,0,1,1,1,1,1,0,1
266,36360,25,F,internet,0,1,0,0,0,0,0,0,0
267,36679,68,M,internet,1,1,1,1,1,1,1,0,1
268,37110,39,F,internet,1,0,1,0,1,1,1,1,0
269,37144,56,M,internet,0,0,0,0,1,0,0,0,0
270,37174,56,M,internet,0,0,0,0,1,1,1,1,0
271,37610,30,M,internet,1,1,1,1,0,1,1,1,1
272,37642,40,F,internet,1,1,1,1,1,0,0,0,0
273,37919,44,M,internet,1,1,1,1,1,1,1,0,1
274,37955,52,F,internet,0,0,0,0,0,0,0,1,0
275,38151,56,F,internet,1,1,1,1,1,1,1,0,1
276,38322,37,M,internet,0,1,0,0,0,0,0,0,0
277,38464,32,M,internet,1,1,1,0,1,0,0,1,0
278,38469,27,M,internet,1,0,0,0,0,0,0,0,0
279,38518,59,M,internet,0,1,1,1,0,1,1,1,0
280,38554,22,F,internet,1,1,1,1,1,0,1,0,0
281,38640,65,M,internet,1,1,1,1,0,1,1,1,1
282,38774,19,M,internet,1,1,1,1,1,1,1,0,0
283,38845,37,F,internet,0,1,0,0,0,0,0,0,0
284,38921,64,M,internet,0,0,0,1,1,1,1,1,1
285,39197,20,F,internet,1,0,0,0,0,0,0,0,0
286,39335,29,M,internet,1,1,1,1,0,1,1,1,0
287,39645,32,F,internet,1,1,1,1,0,1,1,1,0
288,39719,6,M,internet,1,1,1,1,0,1,1,1,1
289,39738,39,F,internet,1,1,1,1,0,1,1,1,0
290,39814,4,M,internet,1,1,1,1,0,1,1,1,0
291,39824,35,M,internet,0,1,0,0,0,0,0,0,0
292,39828,35,F,internet,0,1,0,0,0,0,0,0,0
293,39908,61,F,internet,1,1,1,1,0,1,1,1,1
294,39946,30,F,internet,0,1,0,1,1,1,0,1,0
295,40021,65,F,internet,1,0,1,1,1,0,1,0,0
296,40066,21,M,internet,0,1,0,1,1,1,0,1,0
297,40108,72,M,internet,1,1,1,1,0,1,1,1,1
298,40143,39,F,internet,0,1,0,1,1,0,0,0,0
299,40282,32,F,internet,1,0,1,0,1,1,1,1,0
300,40482,53,F,internet,1,1,1,0,1,0,0,1,0
301,40523,69,M,internet,1,1,0,0,1,1,1,1,0
302,40536,33,F,internet,1,1,1,0,0,0,0,0,0
303,40583,36,F,internet,0,0,0,0,0,0,0,1,0
304,40671,42,F,internet,1,1,1,0,1,0,0,1,0
305,40690,42,F,internet,1,1,1,1,1,1,1,0,0
306,40734,36,F,internet,0,0,0,0,1,0,0,0,0
307,40744,64,F,internet,1,1,1,1,0,0,0,0,0
308,40774,36,M,internet,1,0,0,0,0,0,0,0,0
309,41054,33,F,internet,1,0,0,0,0,0,0,0,0
310,41094,36,M,internet,1,1,1,1,1,1,1,0,1
311,41259,50,F,internet,1,1,1,1,0,0,1,1,0
312,41309,40,M,internet,1,1,1,1,1,1,1,0,1
313,41845,32,F,internet,1,1,0,0,1,1,1,0,0
314,41851,37,M,internet,1,1,1,1,0,1,1,1,1
315,42167,33,F,internet,1,1,1,1,0,1,1,1,1
316,42224,51,F,internet,1,1,1,1,1,1,1,0,1
317,42396,45,F,internet,0,0,0,0,0,0,0,1,0
318,42710,67,F,internet,1,1,0,0,1,1,1,1,1
319,42810,26,F,internet,0,0,1,1,1,0,0,0,0
320,42864,56,F,internet,1,1,1,1,1,0,0,0,0
321,43017,58,M,internet,1,1,1,1,1,1,1,0,1
322,43242,46,M,internet,1,0,1,1,1,1,1,0,1
323,43391,26,F,internet,1,1,1,1,0,1,1,1,1
324,43433,35,F,internet,1,1,1,1,1,1,1,0,1
325,43745,38,F,internet,0,0,0,1,0,0,0,0,0
326,43791,24,F,internet,1,1,1,1,0,1,1,1,1
327,43803,30,M,internet,1,1,1,0,0,1,1,1,1
328,43865,4,M,internet,1,1,1,1,0,1,1,1,1
329,43906,2,F,internet,1,1,1,1,0,1,1,1,1
330,43941,35,F,internet,1,1,1,1,0,1,1,1,1
331,43956,30,M,internet,1,1,1,1,1,1,1,0,0
332,43966,34,M,internet,0,0,0,0,1,0,0,0,0
333,44056,36,M,internet,0,1,0,0,0,0,0,0,0
334,44149,18,M,internet,1,1,1,1,1,1,1,0,1
335,44152,56,F,internet,1,1,1,1,0,1,1,1,1
336,44169,64,F,internet,0,0,0,0,1,0,0,0,0
337,44205,33,F,internet,1,1,1,1,1,1,1,0,1
338,44206,35,M,internet,1,1,1,1,1,1,1,0,1
339,44262,29,F,internet,1,1,1,1,1,1,1,0,1
340,44394,38,F,internet,0,0,0,1,0,0,0,0,0
341,44506,62,F,internet,1,1,1,1,1,1,1,0,0
342,44521,36,M,internet,0,0,0,0,0,0,0,1,0
343,44579,12,M,internet,1,0,1,1,0,0,0,0,0
344,44622,41,M,internet,1,1,1,1,0,1,1,1,1
345,44690,35,F,internet,1,0,1,1,0,1,1,1,0
346,44714,30,F,internet,1,1,0,0,0,0,0,0,0
347,44765,29,F,internet,0,1,1,1,0,0,0,0,0
348,44943,42,M,internet,1,1,1,1,0,0,0,0,0
349,45116,69,F,internet,0,1,0,1,1,1,0,1,0
350,45433,30,F,internet,0,0,1,0,0,0,0,0,0
351,45530,52,M,internet,0,0,0,0,1,0,0,0,0
352,45566,28,F,internet,1,1,1,0,1,0,0,1,0
353,45631,28,M,internet,1,1,1,1,1,1,1,0,0
354,45686,32,F,internet,0,1,1,0,1,1,1,1,0
