election_id,voter_id,age,sex
1,57724,56,F
1,5486,9,F
1,29464,71,F
1,52855,33,M
1,86118,3,M
1,65942,38,M
1,40260,51,F
1,15663,40,F
1,29788,47,F
1,71856,42,F
1,78229,21,F
1,57205,39,M
1,75542,65,F
1,3911,44,F
1,20258,35,F
1,32229,51,M
1,56672,34,F
1,7721,32,F
1,53030,41,F
1,39546,54,F
1,58469,48,F
1,47342,32,F
1,84511,45,M
1,58724,81,F
1,74645,7,M
1,36282,26,F
1,21533,66,F
1,79171,1,M
1,80014,55,F
1,85864,33,F
1,37959,44,F
1,68493,30,F
1,33812,41,F
1,71652,36,M
1,23173,37,M
1,7112,40,M
1,24716,43,M
1,79514,35,F
1,15893,37,M
1,22824,35,M
1,54418,39,F
1,85231,72,M
1,58053,35,F
1,62729,26,M
1,40032,3,M
1,57547,28,F
1,44297,17,M
1,59467,37,F
1,71392,40,F
1,83269,5,F
1,56982,67,F
1,61943,41,M
1,42903,28,F
1,11291,40,F
1,38666,79,F
1,67902,8,F
1,79144,14,F
1,29280,22,M
1,86061,26,M
1,77370,32,F
1,70121,31,F
1,43888,10,M
1,63707,34,F
1,41728,37,M
1,55626,42,F
1,49184,41,M
1,55507,5,M
1,36371,27,M
1,52329,28,F
1,82704,45,F
1,7341,26,F
1,7542,25,F
1,72120,38,F
1,78641,8,F
1,44393,34,M
1,27028,41,F
1,16751,36,F
1,34558,69,M
1,53449,35,F
1,48722,66,F
1,73626,6,F
1,36067,58,F
1,34936,77,M
1,82560,6,M
1,82361,40,F
1,46217,27,M
1,34113,60,F
1,31841,37,M
1,8335,26,F
1,73313,53,F
1,42419,27,F
1,53336,39,M
1,74909,29,M
1,15027,61,F
1,48056,43,F
1,62365,36,M
1,67181,19,M
1,45375,4,F
1,67530,32,F
1,56640,34,F
1,78482,3,M
1,64190,36,F
1,42711,35,M
1,20259,45,F
1,42740,41,M
1,56347,65,F
1,77405,16,F
1,47736,27,F
1,13481,38,F
1,1549,29,F
1,82459,28,M
1,38397,26,F
1,62973,35,M
1,45674,0,M
1,30145,33,F
1,78153,32,M
1,46838,48,M
1,49137,70,F
1,62131,57,M
1,72397,52,M
1,78454,19,F
1,50054,42,F
1,27113,33,F
1,15981,35,F
1,33976,8,M
1,54118,64,F
1,45946,31,M
1,61726,31,M
1,81098,31,M
1,61161,69,M
1,71873,37,F
1,60008,8,F
1,6214,34,F
1,74748,31,F
1,18967,40,F
1,48556,65,M
1,61646,46,F
1,79190,42,F
1,86430,33,M
1,18590,42,M
1,44585,8,M
1,76213,38,F
1,57261,41,M
1,5438,28,F
1,60,29,F
1,46243,51,F
1,15265,3,M
1,81222,39,F
1,82139,10,F
1,53418,23,F
1,40958,4,M
1,59493,26,M
1,39460,8,M
1,494,40,F
1,58206,26,F
1,22968,16,M
1,41224,37,F
1,46896,36,F
1,19052,64,F
1,40466,37,F
1,56499,67,M
1,25504,34,F
1,10835,39,F
1,19049,35,M
1,38755,44,F
1,26627,28,F
1,44697,29,M
1,70749,42,F
1,7495,44,F
1,19089,40,F
1,52533,41,F
1,58725,37,F
1,37240,4,F
1,86670,13,F
1,61174,36,F
1,70804,31,F
1,35088,47,M
1,72309,31,M
1,9187,34,F
1,43567,28,F
1,5950,30,M
1,85030,5,M
1,21472,35,M
1,51829,19,F
1,15520,32,F
1,80424,30,F
1,67129,89,M
1,66744,86,F
1,22139,18,M
1,86086,10,F
1,52730,36,F
1,5829,34,F
1,48330,38,M
1,64495,40,M
1,49895,50,F
1,31142,56,M
1,26810,33,F
1,69286,35,F
1,80850,70,F
1,71986,73,F
1,65911,36,F
1,75482,38,F
1,8787,40,F
1,62158,3,F
1,58026,34,F
1,73615,42,F
1,41434,10,M
1,58165,25,M
1,11411,32,F
1,61779,57,F
1,63895,27,M
1,8552,37,F
1,76310,20,M
1,21062,49,F
1,77750,25,F
1,34701,75,F
1,23910,35,F
1,37123,40,M
1,83188,34,F
1,71254,65,M
1,9027,42,F
1,9457,35,F
1,73069,45,M
1,73614,34,M
1,36180,6,M
1,10353,40,F
1,72953,69,F
1,27170,67,F
1,21544,41,F
1,67828,45,F
1,44098,37,F
1,61893,31,M
1,13062,36,F
1,17462,6,M
1,79603,37,F
1,79187,13,M
1,54104,61,M
1,11923,69,M
1,49243,39,F
1,50135,36,M
1,79799,61,F
1,79553,32,M
1,54503,14,F
1,25211,54,F
1,37076,41,M
1,47227,38,F
1,54454,13,M
1,79819,72,M
1,17086,31,F
1,21752,64,F
1,43459,42,F
1,13816,40,F
1,84929,66,F
1,22283,61,M
1,43585,37,F
1,1304,35,F
1,83334,42,F
1,25886,62,F
1,69705,65,F
1,75009,68,F
1,51239,43,F
1,15839,32,M
1,72260,44,F
1,82320,19,M
1,52027,26,F
1,11684,30,F
1,32762,36,F
1,46519,45,M
1,63824,5,F
1,75754,43,F
1,27676,39,M
1,57988,3,M
1,39778,38,F
1,66805,47,F
1,3985,31,F
1,43918,39,F
1,64262,24,F
1,54014,19,M
1,44030,49,F
1,28540,36,F
1,849,54,F
1,61796,28,F
1,44230,70,M
1,51073,42,M
1,35933,27,M
1,22835,42,F
1,68935,28,F
1,81984,45,F
1,47891,31,M
1,48806,42,F
1,13954,43,M
1,85173,38,M
1,58784,34,M
1,39803,57,F
1,8822,92,F
1,75222,19,M
1,60866,32,F
1,35502,9,M
1,42320,12,F
1,45197,39,F
1,84689,14,F
1,46226,36,F
1,82999,32,F
1,60496,41,F
1,55444,35,F
1,60224,45,F
1,86207,41,F
1,4158,26,F
1,37522,38,F
1,76049,5,F
1,10512,43,M
1,83880,44,F
1,62897,30,M
1,30138,22,F
1,41270,39,F
1,69569,34,M
1,44160,52,F
1,58785,34,F
1,64695,19,M
1,83586,53,F
1,75092,33,M
1,42754,37,M
1,43958,38,M
1,62296,38,M
1,78961,33,M
1,21399,9,M
1,64594,58,M
1,84307,12,M
1,35222,39,M
1,83768,1,M
1,3000,22,M
1,8400,34,F
1,49795,26,F
1,54564,46,F
1,73131,36,F
1,25379,32,F
1,47583,44,F
1,46954,45,F
1,37910,58,F
1,26421,7,M
1,30192,32,F
1,62987,44,M
1,77128,8,F
1,43908,36,M
1,45768,37,F
1,22855,44,F
1,33717,26,F
1,2464,35,F
1,5125,34,F
1,11520,54,F
1,40819,42,F
1,50102,37,F
1,20934,31,F
1,33296,28,F
1,49418,64,F
1,47762,40,F
1,12508,48,M
1,48211,61,F
1,4216,67,M
1,392,62,M
1,78747,8,F
1,8608,47,F
1,31546,41,M
1,5033,33,F
1,41559,32,F
1,38271,34,F
1,14594,43,F
1,43744,33,F
1,69868,42,M
1,85764,50,F
1,32492,65,F
1,68074,50,M
1,32144,3,F
1,67600,62,F
1,9538,42,F
1,85216,37,M
1,56964,42,F
1,16145,37,F
1,78851,43,F
1,38363,38,F
1,17878,46,M
1,36922,31,F
1,78846,39,F
1,79812,39,F
1,10629,39,M
1,18667,32,M
1,42668,37,F
1,39662,32,F
1,79092,78,F
1,55326,44,M
1,85681,7,F
1,75056,39,F
1,41356,9,M
1,34486,24,M
1,38333,25,M
1,75276,50,F
1,2240,34,F
1,40065,38,F
1,7651,38,M
1,51166,26,F
1,25794,36,M
1,63308,57,F
1,44134,33,F
1,379,23,M
1,27246,61,F
1,70731,58,F
1,84587,43,M
1,77865,39,F
1,40624,36,F
1,9043,43,M
1,43452,21,F
1,44435,38,F
1,50968,35,F
1,83781,38,F
1,72530,39,F
1,8382,39,M
1,17309,35,F
1,18472,42,M
1,73089,42,M
1,1789,36,M
1,38701,34,F
1,66182,38,M
1,7840,64,M
1,20568,38,M
1,31341,42,F
1,18672,33,M
1,34335,30,F
1,35050,18,F
1,48857,45,F
1,11897,40,M
1,44753,32,F
1,72743,25,F
1,66928,35,M
1,85342,36,M
1,6898,33,M
1,3609,33,F
1,31893,32,F
1,7591,41,F
1,39167,30,F
1,48365,35,F
1,71561,42,M
1,21998,62,F
1,72583,71,F
1,34164,45,F
1,63665,69,M
1,69766,47,F
1,30935,64,M
1,34886,5,M
1,58330,11,F
1,54778,35,F
1,5440,37,F
1,71352,33,F
1,45484,32,F
1,49761,64,F
1,17743,38,F
