"project id",name,category,target,city,year,"total number of votes","number of votes","popularity percentage","total budget",cost,"cost percentage","selected by phragmen","selected by greedy","selected by equal shares","selected by equal shares with greedy completion","percentage of phragmen selection","percentage of greedy selection","percentage of equalshares selection","percentage of equalshares selection with greedy completion","budget utilisation in phragmen","budget utilisation in utilitarian greedy","budget utilisation in equal shares","budget utilisation in equal shares with greedy completion","total number of projects","voting method"
1301,"Bądź jak Rocky - ogólnorozwojowe zajęcia dla dzieci z elementami boksu","sport","children",ursynow,2020,114796,277,0.0024129760618836894,4986682,62500,0.012533383921413076,0,0,0,0,0.5950413223140496,0.18181818181818182,0.4793388429752066,0.512396694214876,0.9961076322893659,0.9999837567344378,0.6861696815638134,0.9998050808132541,121,approval
922,"O rany!","education,environmental protection,welfare","children,youth,adults,seniors,people with disabilities",ursynow,2020,114796,272,0.0023694205373009512,4986682,72000,0.014438458277467864,0,0,0,0,0.5950413223140496,0.18181818181818182,0.4793388429752066,0.512396694214876,0.9961076322893659,0.9999837567344378,0.6861696815638134,0.9998050808132541,121,approval
1074,"Wymiana nawierzchni boisk do koszykówki przy ul. Puszczyka","public space,sport","children,youth,adults,seniors,people with disabilities",ursynow,2020,114796,266,0.0023171539078016656,4986682,210000,0.04211216997594793,0,0,0,0,0.5950413223140496,0.18181818181818182,0.4793388429752066,0.512396694214876,0.9961076322893659,0.9999837567344378,0.6861696815638134,0.9998050808132541,121,approval
14,"Promocja i warsztaty palenia węglem i drewnem od góry bez kopcenia","environmental protection","adults",ursynow,2020,114796,248,0.0021603540193038083,4986682,3500,0.0007018694995991323,1,0,1,1,0.5950413223140496,0.18181818181818182,0.4793388429752066,0.512396694214876,0.9961076322893659,0.9999837567344378,0.6861696815638134,0.9998050808132541,121,approval
1853,"Gry podwórkowe","public space,sport","children,youth",ursynow,2020,114796,238,0.0020732429701383324,4986682,23000,0.0046122852830800115,1,0,1,1,0.5950413223140496,0.18181818181818182,0.4793388429752066,0.512396694214876,0.9961076322893659,0.9999837567344378,0.6861696815638134,0.9998050808132541,121,approval
245,"Natura dla pokoleń - zmiany w naszym otoczeniu. Cykl warsztatów edukacyjnych dla mieszkańców i uczniów oraz sadzenie drzew","education,environmental protection,public space","children,youth,adults,seniors",ursynow,2020,114796,234,0.0020383985504721417,4986682,399992,0.08021205282390174,0,0,0,0,0.5950413223140496,0.18181818181818182,0.4793388429752066,0.512396694214876,0.9961076322893659,0.9999837567344378,0.6861696815638134,0.9998050808132541,121,approval
1262,"Szachy w DOK-u","education,sport","children,youth,seniors",ursynow,2020,114796,233,0.0020296874455555942,4986682,51340,0.010295422888405558,0,0,0,0,0.5950413223140496,0.18181818181818182,0.4793388429752066,0.512396694214876,0.9961076322893659,0.9999837567344378,0.6861696815638134,0.9998050808132541,121,approval
2095,"Dojrzałe piękno 60+","welfare","seniors",ursynow,2020,114796,230,0.0020035541308059514,4986682,52500,0.010528042493986983,0,0,0,0,0.5950413223140496,0.18181818181818182,0.4793388429752066,0.512396694214876,0.9961076322893659,0.9999837567344378,0.6861696815638134,0.9998050808132541,121,approval
266,"Pogadajmy o tym co nas dzieli - warsztaty z komunikacji","education,culture,welfare","youth,adults,seniors,people with disabilities",ursynow,2020,114796,199,0.0017335098783929754,4986682,23000,0.0046122852830800115,1,0,0,1,0.5950413223140496,0.18181818181818182,0.4793388429752066,0.512396694214876,0.9961076322893659,0.9999837567344378,0.6861696815638134,0.9998050808132541,121,approval
877,"Aktywne spacery na Ursynowie 45+","sport","adults,seniors",ursynow,2020,114796,196,0.0017073765636433326,4986682,16500,0.003308813355253052,1,0,1,1,0.5950413223140496,0.18181818181818182,0.4793388429752066,0.512396694214876,0.9961076322893659,0.9999837567344378,0.6861696815638134,0.9998050808132541,121,approval
1194,"Scrabble na Ursynowie","education,public transit and roads,culture","children,youth,adults,seniors,people with disabilities",ursynow,2020,114796,168,0.0014634656259799993,4986682,29700,0.0059558640394554935,1,0,0,0,0.5950413223140496,0.18181818181818182,0.4793388429752066,0.512396694214876,0.9961076322893659,0.9999837567344378,0.6861696815638134,0.9998050808132541,121,approval
1523,"Warsztaty i turnieje żonglowania piłeczkami dla dzieci i młodzieży","education,culture,welfare","children,youth,people with disabilities",ursynow,2020,114796,139,0.0012108435834001184,4986682,54100,0.010848897122375158,0,0,0,0,0.5950413223140496,0.18181818181818182,0.4793388429752066,0.512396694214876,0.9961076322893659,0.9999837567344378,0.6861696815638134,0.9998050808132541,121,approval
873,"Fitnessowa wiosna","sport","adults,seniors",ursynow,2020,114796,139,0.0012108435834001184,4986682,23550,0.004722579061588447,1,0,0,0,0.5950413223140496,0.18181818181818182,0.4793388429752066,0.512396694214876,0.9961076322893659,0.9999837567344378,0.6861696815638134,0.9998050808132541,121,approval
670,"Warsztaty Myśl sprawnie - bądź kreatywny dla mieszkańców dzielnicy Ursynów","education","children,youth,adults,seniors",ursynow,2020,114796,117,0.0010191992752360708,4986682,38580,0.0077366072270098635,0,0,0,0,0.5950413223140496,0.18181818181818182,0.4793388429752066,0.512396694214876,0.9961076322893659,0.9999837567344378,0.6861696815638134,0.9998050808132541,121,approval
