election_id,voter_id,project_id
1,78001,1024
1,78001,1061
1,78001,1106
1,78001,1034
1,78001,264
1,78001,300
1,78001,643
1,78001,1967
1,78001,1027
1,78001,1072
1,78001,1551
1,78001,1534
1,78001,1531
1,78001,1806
1,78001,637
1,78001,1075
1,78001,1115
1,78001,639
1,78001,1462
1,78001,1560
1,78001,641
1,78001,1619
1,78001,668
1,78001,1043
1,78001,2098
1,78001,645
1,78001,1787
1,78001,926
1,78001,1957
1,77912,1557
1,77912,1462
1,77912,1501
1,84187,1024
1,84187,1061
1,84187,1106
1,84187,1556
1,84187,1034
1,84187,210
1,84187,264
1,84187,346
1,84187,2257
1,84187,2209
1,84187,1551
1,84187,1432
1,84187,1534
1,84187,1115
1,84187,1560
1,84187,641
1,84187,1043
1,52831,1024
1,52831,1061
1,52831,344
1,52831,1106
1,52831,1556
1,52831,1034
1,52831,210
1,52831,264
1,52831,300
1,52831,643
1,52831,346
1,52831,1010
1,52831,2257
1,52831,1072
1,52831,1551
1,52831,1531
1,52831,184
1,52831,1573
1,52831,1115
1,52831,1619
1,52831,640
1,52831,1554
1,52831,1018
1,41499,659
1,41499,1024
1,41499,1061
1,41499,344
1,41499,300
1,41499,349
1,41499,1967
1,41499,1027
1,41499,2209
1,41499,184
1,41499,1058
1,41499,1949
1,41499,645
1,41499,926
1,47840,659
1,47840,1061
1,47840,344
1,47840,300
1,47840,349
1,47840,346
1,47840,1027
1,47840,1072
1,47840,2209
1,47840,638
1,47840,1949
1,47840,1229
1,30283,210
1,76182,1556
1,48147,1058
1,58285,1024
1,58285,1061
1,58285,344
1,58285,1106
1,58285,1034
1,58285,264
1,58285,643
1,58285,349
1,58285,346
1,58285,1967
1,58285,1010
1,58285,2209
1,58285,1534
1,58285,985
1,58285,1531
1,58285,1806
1,58285,637
1,58285,1075
1,58285,1573
1,58285,639
1,58285,1557
1,58285,1560
1,58285,641
1,58285,1043
1,58285,638
1,58285,645
1,58285,1787
1,58285,1490
1,39137,1061
1,39137,1106
1,39137,1556
1,39137,1034
1,39137,210
1,39137,300
1,39137,643
1,39137,349
1,39137,1027
1,39137,1110
1,39137,2209
1,39137,985
1,39137,1531
1,39137,1573
1,39137,1644
1,39137,1115
1,39137,1557
1,39137,1462
1,39137,668
1,39137,1043
1,39137,638
1,39137,1949
1,39137,1018
1,39137,1490
1,50795,659
1,50795,1061
1,50795,1106
1,50795,1034
1,50795,264
1,50795,346
1,50795,1110
1,50795,1432
1,50795,985
1,50795,1557
1,50795,1462
1,50795,1560
1,50795,1949
1,50795,1957
1,59979,659
1,59979,1024
1,59979,1061
1,59979,344
1,59979,1106
1,59979,1034
1,59979,635
1,59979,300
1,59979,349
1,59979,346
1,59979,1027
1,59979,1010
1,59979,1110
1,59979,1072
1,59979,2209
1,59979,1534
1,59979,1531
1,59979,184
1,59979,1075
1,59979,1573
1,59979,1115
1,59979,1557
1,59979,1462
1,59979,641
1,59979,1058
1,59979,1619
1,59979,638
1,59979,645
1,59979,640
1,59979,1603
1,59979,1467
1,59979,1787
1,59979,1554
1,59979,1957
1,59979,1490
1,40173,1061
1,40173,210
1,40173,635
1,40173,300
1,40173,643
1,40173,349
1,40173,346
1,40173,1072
1,40173,2209
1,40173,985
1,40173,637
1,40173,184
1,40173,1560
1,40173,1058
1,40173,1043
1,40173,2098
1,40173,1787
1,51425,659
1,51425,1061
1,51425,344
1,51425,1556
1,51425,1034
1,51425,210
1,51425,300
1,51425,643
1,51425,349
1,51425,346
1,51425,1010
1,51425,2257
1,51425,1072
1,51425,1534
1,51425,985
1,51425,1531
1,51425,1806
1,51425,637
1,51425,184
1,51425,1115
1,51425,1557
1,51425,1560
